uf,city,estimated_population
CE,Ibicuitinga,12525
CE,Icapuí,19934
CE,Icó,68018
CE,Iguatu,102498
CE,Independência,26178
CE,Ipaporanga,11593
CE,Ipaumirim,12463
CE,Ipu,41964
CE,Ipueiras,38166
CE,Iracema,14297
CE,Irauçuba,24156
CE,Itaiçaba,7827
CE,Itaitinga,37980
CE,Itapajé,52675
CE,Itapipoca,129358
CE,Itapiúna,20382
CE,Itarema,41826
CE,Itatira,21647
CE,Jaguaretama,18162
CE,Jaguaribara,11401
CE,Jaguaribe,34682
CE,Jaguaruana,33705
CE,Jardim,27174
CE,Jati,8111
CE,Jijoca de Jericoacoara,19816
CE,Juazeiro do Norte,274207
CE,Jucás,24833
CE,Lavras da Mangabeira,31508
CE,Limoeiro do Norte,59540
CE,Madalena,19691
CE,Maracanaú,227886
CE,Maranguape,128978
CE,Marco,27361
CE,Martinópole,11233
CE,Massapê,38737
CE,Mauriti,47962
CE,Meruoca,15057
CE,Milagres,27512
CE,Milhã,13155
CE,Miraíma,13818
CE,Missão Velha,36442
CE,Mombaça,43797
CE,Monsenhor Tabosa,17234
CE,Morada Nova,61890
CE,Moraújo,8724
CE,Morrinhos,22534
CE,Mucambo,14537
CE,Mulungu,10823
CE,Nova Olinda,15565
CE,Nova Russas,32328
CE,Novo Oriente,28607
CE,Ocara,25703
CE,Orós,21427
CE,Pacajus,72203
CE,Pacatuba,83432
CE,Pacoti,12261
CE,Pacujá,6533
CE,Palhano,9386
CE,Palmácia,13322
CE,Paracuru,35076
CE,Paraipaba,32744
CE,Parambu,31521
CE,Paramoti,12226
CE,Pedra Branca,43258
CE,Penaforte,9077
CE,Pentecoste,37751
CE,Pereiro,16307
CE,Pindoretama,20567
CE,Piquet Carneiro,16959
CE,Pires Ferreira,10951
CE,Poranga,12336
CE,Porteiras,14996
CE,Potengi,11045
CE,Potiretama,6419
CE,Quiterianópolis,21084
CE,Quixadá,87728
CE,Quixelô,16178
CE,Quixeramobim,81082
CE,Quixeré,22149
CE,Redenção,29053
CE,Reriutaba,18491
CE,Russas,78194
CE,Saboeiro,15819
CE,Salitre,16554
CE,Santana do Acaraú,32452
CE,Santana do Cariri,17700
CE,Santa Quitéria,43703
CE,São Benedito,47903
CE,São Gonçalo do Amarante,48422
CE,São João do Jaguaribe,7645
CE,São Luís do Curu,13000
CE,Senador Pompeu,25496
CE,Senador Sá,7623
CE,Sobral,208935
CE,Solonópole,18324
CE,Tabuleiro do Norte,30697
CE,Tamboril,26251
CE,Tarrafas,8592
CE,Tauá,58859
CE,Tejuçuoca,19187
CE,Tianguá,75946
CE,Trairi,55918
CE,Tururu,16271
CE,Ubajara,34792
CE,Umari,7733
CE,Umirim,19825
CE,Uruburetama,21850
CE,Uruoca,13840
CE,Varjota,18420
CE,Várzea Alegre,40721
CE,Viçosa do Ceará,60889
RN,Acari,11136
RN,Açu,58017
RN,Afonso Bezerra,11035
RN,Água Nova,3252
RN,Alexandria,13577
RN,Almino Afonso,4735
RN,Alto do Rodrigues,14529
RN,Angicos,11714
RN,Antônio Martins,7145
RN,Apodi,35845
RN,Areia Branca,27774
RN,Arês,14306
RN,Augusto Severo,9655
RN,Baía Formosa,9271
RN,Baraúna,28374
RN,Barcelona,3998
RN,Bento Fernandes,5497
RN,Bodó,2223
RN,Bom Jesus,10210
RN,Brejinho,12699
RN,Caiçara do Norte,6549
RN,Caiçara do Rio do Vento,3684
RN,Caicó,67952
RN,Campo Redondo,11217
RN,Canguaretama,34276
RN,Caraúbas,20493
RN,Carnaúba dos Dantas,8180
RN,Carnaubais,10759
RN,Ceará-Mirim,73497
RN,Cerro Corá,11179
RN,Coronel Ezequiel,5506
RN,Coronel João Pessoa,4912
RN,Cruzeta,7998
RN,Currais Novos,44786
RN,Doutor Severiano,7076
RN,Parnamirim,261469
RN,Encanto,5638
RN,Equador,6045
RN,Espírito Santo,10505
RN,Extremoz,28583
RN,Felipe Guerra,5985
RN,Fernando Pedroza,3054
RN,Florânia,9116
RN,Francisco Dantas,2824
RN,Frutuoso Gomes,4068
RN,Galinhos,2786
RN,Goianinha,26328
RN,Governador Dix-Sept Rosado,13037
RN,Grossos,10383
RN,Guamaré,15659
RN,Ielmo Marinho,13766
RN,Ipanguaçu,15491
RN,Ipueira,2241
RN,Itajá,7548
RN,Itaú,5878
RN,Jaçanã,9133
RN,Jandaíra,6878
RN,Janduís,5268
RN,Januário Cicco,10181
RN,Japi,5055
RN,Jardim de Angicos,2612
RN,Jardim de Piranhas,14837
RN,Jardim do Seridó,12396
RN,João Câmara,34955
RN,João Dias,2654
RN,José da Penha,5951
RN,Jucurutu,18295
RN,Jundiá,3898
RN,Lagoa d'Anta,6769
RN,Lagoa de Pedras,7544
RN,Lagoa de Velhos,2732
RN,Lagoa Nova,15614
RN,Lagoa Salgada,8245
RN,Lajes,11277
RN,Lajes Pintadas,4759
RN,Lucrécia,3996
RN,Luís Gomes,10116
RN,Macaíba,80792
RN,Macau,31814
RN,Major Sales,4020
RN,Marcelino Vieira,8347
RN,Martins,8725
RN,Maxaranguape,12371
RN,Messias Targino,4601
RN,Montanhas,11251
RN,Monte Alegre,22451
RN,Monte das Gameleiras,2105
RN,Mossoró,297378
RN,Natal,884122
RN,Nísia Floresta,27602
RN,Nova Cruz,37343
RN,Olho-d'Água do Borges,4258
RN,Ouro Branco,4812
RN,Paraná,4254
RN,Paraú,3768
RN,Parazinho,5237
RN,Parelhas,21477
RN,Rio do Fogo,10848
RN,Passa e Fica,13277
RN,Passagem,3089
RN,Patu,12755
RN,Santa Maria,5551
RN,Pau dos Ferros,30394
RN,Pedra Grande,3237
RN,Pedra Preta,2458
RN,Pedro Avelino,6716
RN,Pedro Velho,14806
RN,Pendências,15129
RN,Pilões,3838
RN,Poço Branco,15413
RN,Portalegre,7867
RN,Porto do Mangue,6437
RN,Serra Caiada,10395
RN,Pureza,9621
RN,Rafael Fernandes,5098
RN,Rafael Godeiro,3201
RN,Riacho da Cruz,3579
RN,Riacho de Santana,4204
RN,Riachuelo,8128
RN,Rodolfo Fernandes,4467
RN,Tibau,4106
RN,Ruy Barbosa,3600
RN,Santa Cruz,39674
RN,Santana do Matos,12791
RN,Santana do Seridó,2680
RN,Santo Antônio,24136
RN,São Bento do Norte,2747
RN,São Bento do Trairí,4449
RN,São Fernando,3584
RN,São Francisco do Oeste,4228
RN,São Gonçalo do Amarante,102400
RN,São João do Sabugi,6193
RN,São José de Mipibu,43899
RN,São José do Campestre,12856
RN,São José do Seridó,4634
RN,São Miguel,23519
RN,São Miguel do Gostoso,10282
RN,São Paulo do Potengi,17579
RN,São Pedro,5971
RN,São Rafael,8202
RN,São Tomé,11055
RN,São Vicente,6424
RN,Senador Elói de Souza,6086
RN,Senador Georgino Avelino,4440
RN,Serra de São Bento,5762
RN,Serra do Mel,11938
RN,Serra Negra do Norte,8078
RN,Serrinha,6229
RN,Serrinha dos Pintos,4800
RN,Severiano Melo,2440
RN,Sítio Novo,5522
RN,Taboleiro Grande,2566
RN,Taipu,12279
RN,Tangará,15727
RN,Tenente Ananias,10786
RN,Tenente Laurentino Cruz,5952
RN,Tibau do Sul,14180
RN,Timbaúba dos Batistas,2414
RN,Touros,33287
RN,Triunfo Potiguar,3237
RN,Umarizal,10555
RN,Upanema,14659
RN,Várzea,5500
RN,Venha-Ver,4177
RN,Vera Cruz,12481
RN,Viçosa,1718
RN,Vila Flor,3170
PB,Água Branca,10234
PB,Aguiar,5640
PB,Alagoa Grande,28496
PB,Alagoa Nova,20849
PB,Alagoinha,14489
PB,Alcantil,5492
PB,Algodão de Jandaíra,2567
PB,Alhandra,19588
PB,São João do Rio do Peixe,18034
PB,Amparo,2238
PB,Aparecida,8347
PB,Araçagi,16987
PB,Arara,13470
PB,Araruna,20312
PB,Areia,22819
PB,Areia de Baraúnas,2128
PB,Areial,6998
PB,Aroeiras,19153
PB,Assunção,3990
PB,Baía da Traição,8993
PB,Bananeiras,21318
PB,Baraúna,4892
PB,Barra de Santana,8359
PB,Barra de Santa Rosa,15384
PB,Barra de São Miguel,6036
PB,Bayeux,96880
PB,Belém,17676
PB,Belém do Brejo do Cruz,7342
PB,Bernardino Batista,3501
PB,Boa Ventura,5366
PB,Boa Vista,7051
PB,Bom Jesus,2561
PB,Bom Sucesso,4975
PB,Bonito de Santa Fé,11917
PB,Boqueirão,17804
PB,Igaracy,6117
PB,Borborema,5263
PB,Brejo do Cruz,14122
PB,Brejo dos Santos,6449
PB,Caaporã,21828
PB,Cabaceiras,5611
PB,Cabedelo,67736
PB,Cachoeira dos Índios,10244
PB,Cacimba de Areia,3682
PB,Cacimba de Dentro,17187
PB,Cacimbas,7173
PB,Caiçara,7201
PB,Cajazeiras,61993
PB,Cajazeirinhas,3193
PB,Caldas Brandão,6014
PB,Camalaú,6013
PB,Campina Grande,409731
PB,Capim,6523
PB,Caraúbas,4162
PB,Carrapateira,2659
PB,Casserengue,7468
PB,Catingueira,4932
PB,Catolé do Rocha,30546
PB,Caturité,4852
PB,Conceição,18982
PB,Condado,6654
PB,Conde,24670
PB,Congo,4786
PB,Coremas,15445
PB,Coxixola,1921
PB,Cruz do Espírito Santo,17319
PB,Cubati,7797
PB,Cuité,20338
PB,Cuitegi,6803
PB,Cuité de Mamanguape,6353
PB,Curral de Cima,5227
PB,Curral Velho,2516
PB,Damião,5330
PB,Desterro,8297
PB,Vista Serrana,3798
PB,Diamante,6552
PB,Dona Inês,10453
PB,Duas Estradas,3596
PB,Emas,3522
PB,Esperança,33007
PB,Fagundes,11253
PB,Frei Martinho,2989
PB,Gado Bravo,8316
PB,Guarabira,58833
PB,Gurinhém,14129
PB,Gurjão,3428
PB,Ibiara,5929
PB,Imaculada,11819
PB,Ingá,18103
PB,Itabaiana,24477
PB,Itaporanga,24692
PB,Itapororoca,18664
PB,Itatuba,10962
PB,Jacaraú,14431
PB,Jericó,7739
PB,João Pessoa,809015
PB,Juarez Távora,7936
PB,Juazeirinho,18171
PB,Junco do Seridó,7150
PB,Juripiranga,10756
PB,Juru,9867
PB,Lagoa,4666
PB,Lagoa de Dentro,7719
PB,Lagoa Seca,27503
PB,Lastro,2737
PB,Livramento,7256
PB,Logradouro,4332
PB,Lucena,13080
PB,Mãe d'Água,4009
PB,Malta,5759
PB,Mamanguape,44882
PB,Manaíra,10955
PB,Marcação,8558
PB,Mari,21837
PB,Marizópolis,6617
PB,Massaranduba,13918
PB,Mataraca,8434
PB,Matinhas,4500
PB,Mato Grosso,2908
PB,Maturéia,6569
PB,Mogeiro,13284
PB,Montadas,5669
PB,Monte Horebe,4816
PB,Monteiro,33222
PB,Mulungu,9902
PB,Natuba,10454
PB,Nazarezinho,7301
PB,Nova Floresta,10638
PB,Nova Olinda,5949
PB,Nova Palmeira,4906
PB,Olho d'Água,6526
PB,Olivedos,3932
PB,Ouro Velho,3039
PB,Parari,1771
PB,Passagem,2419
PB,Patos,107605
PB,Paulista,12347
PB,Pedra Branca,3801
PB,Pedra Lavrada,7843
PB,Pedras de Fogo,28458
PB,Piancó,16075
PB,Picuí,18703
PB,Pilar,11917
PB,Pilões,6635
PB,Pilõezinhos,4976
PB,Pirpirituba,10579
PB,Pitimbu,19065
PB,Pocinhos,18564
PB,Poço Dantas,3888
PB,Poço de José de Moura,4307
PB,Pombal,32801
PB,Prata,4209
PB,Princesa Isabel,23345
PB,Puxinanã,13680
PB,Queimadas,43967
PB,Quixaba,1956
PB,Remígio,19621
PB,Pedro Régis,6089
PB,Riachão,3588
PB,Riachão do Bacamarte,4521
PB,Riachão do Poço,4509
PB,Riacho de Santo Antônio,1948
PB,Riacho dos Cavalos,8526
PB,Rio Tinto,24176
PB,Salgadinho,3885
PB,Salgado de São Félix,12140
PB,Santa Cecília,6558
PB,Santa Cruz,6583
PB,Santa Helena,5889
PB,Santa Inês,3595
PB,Santa Luzia,15382
PB,Santana de Mangueira,5162
PB,Santana dos Garrotes,7031
PB,Joca Claudino,2636
PB,Santa Rita,136586
PB,Santa Teresinha,4573
PB,Santo André,2521
PB,São Bento,34031
PB,São Bentinho,4529
PB,São Domingos do Cariri,2615
PB,São Domingos,3073
PB,São Francisco,3392
PB,São João do Cariri,4199
PB,São João do Tigre,4422
PB,São José da Lagoa Tapada,7630
PB,São José de Caiana,6359
PB,São José de Espinharas,4682
PB,São José dos Ramos,5957
PB,São José de Piranhas,20251
PB,São José de Princesa,4003
PB,São José do Bonfim,3557
PB,São José do Brejo do Cruz,1801
PB,São José do Sabugi,4141
PB,São José dos Cordeiros,3628
PB,São Mamede,7724
PB,São Miguel de Taipu,7368
PB,São Sebastião de Lagoa de Roça,11661
PB,São Sebastião do Umbuzeiro,3489
PB,Sapé,52625
PB,São Vicente do Seridó,10775
PB,Serra Branca,13699
PB,Serra da Raiz,3148
PB,Serra Grande,2909
PB,Serra Redonda,7041
PB,Serraria,6099
PB,Sertãozinho,5024
PB,Sobrado,7783
PB,Solânea,26407
PB,Soledade,14989
PB,Sossêgo,3555
PB,Sousa,69444
PB,Sumé,16966
PB,Tacima,10911
PB,Taperoá,15376
PB,Tavares,14726
PB,Teixeira,15161
PB,Tenório,3058
PB,Triunfo,9455
PB,Uiraúna,15242
PB,Umbuzeiro,9907
PB,Várzea,2810
PB,Vieirópolis,5348
PB,Zabelê,2240
PE,Abreu e Lima,99990
PE,Afogados da Ingazeira,37259
PE,Afrânio,19635
PE,Agrestina,24885
PE,Água Preta,36771
PE,Águas Belas,43443
PE,Alagoinha,14636
PE,Aliança,38386
PE,Altinho,22972
PE,Amaraji,22829
PE,Angelim,11150
PE,Araçoiaba,20524
PE,Araripina,84418
PE,Arcoverde,74338
PE,Barra de Guabiraba,14385
PE,Barreiros,42659
PE,Belém de Maria,12073
PE,Belém do São Francisco,20729
PE,Belo Jardim,76439
PE,Betânia,12719
PE,Bezerros,60798
PE,Bodocó,38146
PE,Bom Conselho,48554
PE,Bom Jardim,39184
PE,Bonito,38134
PE,Brejão,8993
PE,Brejinho,7487
PE,Brejo da Madre de Deus,50742
PE,Buenos Aires,13155
PE,Buíque,58378
PE,Cabo de Santo Agostinho,207048
PE,Cabrobó,34221
PE,Cachoeirinha,20380
PE,Caetés,28739
PE,Calçado,11053
PE,Calumbi,5750
PE,Camaragibe,157828
PE,Camocim de São Félix,18765
PE,Camutanga,8551
PE,Canhotinho,24804
PE,Capoeiras,20048
PE,Carnaíba,19551
PE,Carnaubeira da Penha,12932
PE,Carpina,83641
PE,Caruaru,361118
PE,Casinhas,14341
PE,Catende,42892
PE,Cedro,11807
PE,Chã de Alegria,13518
PE,Chã Grande,21698
PE,Condado,26421
PE,Correntes,18207
PE,Cortês,12578
PE,Cumaru,10906
PE,Cupira,24107
PE,Custódia,37111
PE,Dormentes,18908
PE,Escada,68875
PE,Exu,31825
PE,Feira Nova,22131
PE,Fernando de Noronha,3061
PE,Ferreiros,12123
PE,Flores,22624
PE,Floresta,32873
PE,Frei Miguelinho,15457
PE,Gameleira,31052
PE,Garanhuns,139788
PE,Glória do Goitá,30604
PE,Goiana,79758
PE,Granito,7486
PE,Gravatá,84074
PE,Iati,19197
PE,Ibimirim,29235
PE,Ibirajuba,7762
PE,Igarassu,117019
PE,Iguaracy,12228
PE,Inajá,23247
PE,Ingazeira,4548
PE,Ipojuca,96204
PE,Ipubi,30854
PE,Itacuruba,4918
PE,Itaíba,26349
PE,Ilha de Itamaracá,26258
PE,Itambé,36447
PE,Itapetim,13616
PE,Itapissuma,26651
PE,Itaquitinga,16955
PE,Jaboatão dos Guararapes,702298
PE,Jaqueira,11656
PE,Jataúba,17150
PE,Jatobá,14796
PE,João Alfredo,33822
PE,Joaquim Nabuco,16023
PE,Jucati,11424
PE,Jupi,14836
PE,Jurema,15378
PE,Lagoa do Carro,18071
PE,Lagoa de Itaenga,21429
PE,Lagoa do Ouro,13145
PE,Lagoa dos Gatos,16290
PE,Lagoa Grande,25601
PE,Lajedo,40288
PE,Limoeiro,56250
PE,Macaparana,25376
PE,Machados,16088
PE,Manari,21434
PE,Maraial,11345
PE,Mirandiba,15390
PE,Moreno,62784
PE,Nazaré da Mata,32471
PE,Olinda,392482
PE,Orobó,23884
PE,Orocó,14991
PE,Ouricuri,69459
PE,Palmares,63250
PE,Palmeirina,7693
PE,Panelas,26474
PE,Paranatama,11523
PE,Parnamirim,22010
PE,Passira,28933
PE,Paudalho,56506
PE,Paulista,331774
PE,Pedra,22617
PE,Pesqueira,67395
PE,Petrolândia,36548
PE,Petrolina,349145
PE,Poção,11302
PE,Pombos,27091
PE,Primavera,14966
PE,Quipapá,26037
PE,Quixaba,6813
PE,Recife,1645727
PE,Riacho das Almas,20546
PE,Ribeirão,47415
PE,Rio Formoso,23535
PE,Sairé,9932
PE,Salgadinho,10919
PE,Salgueiro,60930
PE,Saloá,15843
PE,Sanharó,26462
PE,Santa Cruz,15398
PE,Santa Cruz da Baixa Verde,12592
PE,Santa Cruz do Capibaribe,107937
PE,Santa Filomena,14477
PE,Santa Maria da Boa Vista,41931
PE,Santa Maria do Cambucá,14137
PE,Santa Terezinha,11815
PE,São Benedito do Sul,15895
PE,São Bento do Una,59504
PE,São Caitano,37245
PE,São João,22793
PE,São Joaquim do Monte,21356
PE,São José da Coroa Grande,21298
PE,São José do Belmonte,33959
PE,São José do Egito,33951
PE,São Lourenço da Mata,113230
PE,São Vicente Ferrer,18018
PE,Serra Talhada,86350
PE,Serrita,19165
PE,Sertânia,35907
PE,Sirinhaém,45865
PE,Moreilândia,11270
PE,Solidão,6007
PE,Surubim,65089
PE,Tabira,28534
PE,Tacaimbó,12874
PE,Tacaratu,25765
PE,Tamandaré,23388
PE,Taquaritinga do Norte,28775
PE,Terezinha,7169
PE,Terra Nova,10096
PE,Timbaúba,53022
PE,Toritama,45219
PE,Tracunhaém,13769
PE,Trindade,30521
PE,Triunfo,15254
PE,Tupanatinga,27304
PE,Tuparetama,8202
PE,Venturosa,18482
PE,Verdejante,9534
PE,Vertente do Lério,7618
PE,Vertentes,20731
PE,Vicência,32643
PE,Vitória de Santo Antão,138757
PE,Xexéu,14725
AL,Água Branca,20196
AL,Anadia,17545
AL,Arapiraca,231747
AL,Atalaia,47185
AL,Barra de Santo Antônio,15932
AL,Barra de São Miguel,8322
AL,Batalha,18232
AL,Belém,4344
AL,Belo Monte,6704
AL,Boca da Mata,27281
AL,Branquinha,10494
AL,Cacimbinhas,10858
AL,Cajueiro,21264
AL,Campestre,6936
AL,Campo Alegre,57063
AL,Campo Grande,9558
AL,Canapi,17722
AL,Capela,17053
AL,Carneiros,9081
AL,Chã Preta,7311
AL,Coité do Nóia,10693
AL,Colônia Leopoldina,21698
AL,Coqueiro Seco,5845
AL,Coruripe,56933
AL,Craíbas,24219
AL,Delmiro Gouveia,52016
AL,Dois Riachos,11075
AL,Estrela de Alagoas,18205
AL,Feira Grande,22166
AL,Feliz Deserto,4754
AL,Flexeiras,12790
AL,Girau do Ponciano,40917
AL,Ibateguara,15616
AL,Igaci,25631
AL,Igreja Nova,24499
AL,Inhapi,18385
AL,Jacaré dos Homens,5253
AL,Jacuípe,7021
AL,Japaratinga,8361
AL,Jaramataia,5770
AL,Jequiá da Praia,11580
AL,Joaquim Gomes,23993
AL,Jundiá,4155
AL,Junqueiro,24727
AL,Lagoa da Canoa,17852
AL,Limoeiro de Anadia,28635
AL,Maceió,1018948
AL,Major Isidoro,19804
AL,Maragogi,32704
AL,Maravilha,9163
AL,Marechal Deodoro,51901
AL,Maribondo,13264
AL,Mar Vermelho,3514
AL,Mata Grande,25216
AL,Matriz de Camaragibe,24642
AL,Messias,17856
AL,Minador do Negrão,5329
AL,Monteirópolis,7159
AL,Murici,28236
AL,Novo Lino,12690
AL,Olho d'Água das Flores,21688
AL,Olho d'Água do Casado,9373
AL,Olho d'Água Grande,5123
AL,Olivença,11624
AL,Ouro Branco,11496
AL,Palestina,5011
AL,Palmeira dos Índios,73218
AL,Pão de Açúcar,24399
AL,Pariconha,10533
AL,Paripueira,13176
AL,Passo de Camaragibe,15245
AL,Paulo Jacinto,7564
AL,Penedo,63683
AL,Piaçabuçu,17827
AL,Pilar,35111
AL,Pindoba,2908
AL,Piranhas,25039
AL,Poço das Trincheiras,14386
AL,Porto Calvo,27165
AL,Porto de Pedras,7786
AL,Porto Real do Colégio,20066
AL,Quebrangulo,11294
AL,Rio Largo,75120
AL,Roteiro,6664
AL,Santa Luzia do Norte,7296
AL,Santana do Ipanema,47654
AL,Santana do Mundaú,10740
AL,São Brás,6961
AL,São José da Laje,23927
AL,São José da Tapera,32260
AL,São Luís do Quitunde,34555
AL,São Miguel dos Campos,61251
AL,São Miguel dos Milagres,7951
AL,São Sebastião,34152
AL,Satuba,13828
AL,Senador Rui Palmeira,13870
AL,Tanque d'Arca,6162
AL,Taquarana,19980
AL,Teotônio Vilela,44169
AL,Traipu,27715
AL,União dos Palmares,65611
AL,Viçosa,25733
SE,Amparo de São Francisco,2374
SE,Aquidabã,21563
SE,Aracaju,657013
SE,Arauá,10056
SE,Areia Branca,18542
SE,Barra dos Coqueiros,30407
SE,Boquim,26816
SE,Brejo Grande,8309
SE,Campo do Brito,18109
SE,Canhoba,4008
SE,Canindé de São Francisco,29900
SE,Capela,34213
SE,Carira,22082
SE,Carmópolis,16634
SE,Cedro de São João,5897
SE,Cristinápolis,17874
SE,Cumbe,3987
SE,Divina Pastora,5138
SE,Estância,69184
SE,Feira Nova,5584
SE,Frei Paulo,15421
SE,Gararu,11604
SE,General Maynard,3346
SE,Graccho Cardoso,5818
SE,Ilha das Flores,8520
SE,Indiaroba,17957
SE,Itabaiana,95427
SE,Itabaianinha,41928
SE,Itabi,4903
SE,Itaporanga d'Ajuda,34356
SE,Japaratuba,18743
SE,Japoatã,13434
SE,Lagarto,104408
SE,Laranjeiras,29826
SE,Macambira,6919
SE,Malhada dos Bois,3682
SE,Malhador,12618
SE,Maruim,17213
SE,Moita Bonita,11335
SE,Monte Alegre de Sergipe,15031
SE,Muribeca,7625
SE,Neópolis,18719
SE,Nossa Senhora Aparecida,8796
SE,Nossa Senhora da Glória,36924
SE,Nossa Senhora das Dores,26629
SE,Nossa Senhora de Lourdes,6483
SE,Nossa Senhora do Socorro,183628
SE,Pacatuba,14428
SE,Pedra Mole,3261
SE,Pedrinhas,9602
SE,Pinhão,6576
SE,Pirambu,9280
SE,Poço Redondo,34775
SE,Poço Verde,23728
SE,Porto da Folha,28596
SE,Propriá,29626
SE,Riachão do Dantas,19805
SE,Riachuelo,10213
SE,Ribeirópolis,18652
SE,Rosário do Catete,10855
SE,Salgado,19998
SE,Santa Luzia do Itanhy,14035
SE,Santana do São Francisco,7780
SE,Santa Rosa de Lima,3913
SE,Santo Amaro das Brotas,12102
SE,São Cristóvão,90072
SE,São Domingos,11137
SE,São Francisco,3724
SE,São Miguel do Aleixo,3930
SE,Simão Dias,40484
SE,Siriri,8893
SE,Telha,3227
SE,Tobias Barreto,52191
SE,Tomar do Geru,13536
SE,Umbaúba,25294
BA,Abaíra,8739
BA,Abaré,20086
BA,Acajutiba,15159
BA,Adustina,17040
BA,Água Fria,16970
BA,Érico Cardoso,10610
BA,Aiquara,4446
BA,Alagoinhas,151596
BA,Alcobaça,22470
BA,Almadina,5464
BA,Amargosa,37241
BA,Amélia Rodrigues,25102
BA,América Dourada,16094
BA,Anagé,17857
BA,Andaraí,13143
BA,Andorinha,14595
BA,Angical,13977
BA,Anguera,11221
BA,Antas,19291
BA,Antônio Cardoso,11683
BA,Antônio Gonçalves,11798
BA,Aporá,17731
BA,Apuarema,7330
BA,Aracatu,13135
BA,Araças,12177
BA,Araci,54379
BA,Aramari,11397
BA,Arataca,11019
BA,Aratuípe,8825
BA,Aurelino Leal,11531
BA,Baianópolis,13877
BA,Baixa Grande,20468
BA,Banzaê,13229
BA,Barra,53578
BA,Barra da Estiva,20598
BA,Barra do Choça,31603
BA,Barra do Mendes,13865
BA,Barra do Rocha,5714
BA,Barreiras,155439
BA,Barro Alto,14931
BA,Barrocas,15978
BA,Barro Preto,5591
BA,Belmonte,23328
BA,Belo Campo,17211
BA,Biritinga,15979
BA,Boa Nova,12633
BA,Boa Vista do Tupim,18576
BA,Bom Jesus da Lapa,69148
BA,Bom Jesus da Serra,9880
BA,Boninal,14368
BA,Bonito,16764
BA,Boquira,21508
BA,Botuporã,10211
BA,Brejões,14295
BA,Brejolândia,10557
BA,Brotas de Macaúbas,10231
BA,Brumado,67195
BA,Buerarema,18349
BA,Buritirama,21174
BA,Caatiba,6758
BA,Cabaceiras do Paraguaçu,18807
BA,Cachoeira,33470
BA,Caculé,23170
BA,Caém,9213
BA,Caetanos,15573
BA,Caetité,50975
BA,Cafarnaum,18437
BA,Cairu,18176
BA,Caldeirão Grande,13327
BA,Camacan,31988
BA,Camaçari,299132
BA,Camamu,35316
BA,Campo Alegre de Lourdes,28798
BA,Campo Formoso,71206
BA,Canápolis,9711
BA,Canarana,26176
BA,Canavieiras,31099
BA,Candeal,8258
BA,Candeias,87076
BA,Candiba,14319
BA,Cândido Sales,25189
BA,Cansanção,34834
BA,Canudos,16668
BA,Capela do Alto Alegre,11637
BA,Capim Grosso,30662
BA,Caraíbas,8951
BA,Caravelas,22016
BA,Cardeal da Silva,9295
BA,Carinhanha,29018
BA,Casa Nova,71969
BA,Castro Alves,26264
BA,Catolândia,3577
BA,Catu,54704
BA,Caturama,9329
BA,Central,17266
BA,Chorrochó,11177
BA,Cícero Dantas,32515
BA,Cipó,17300
BA,Coaraci,16993
BA,Cocos,18777
BA,Conceição da Feira,22581
BA,Conceição do Almeida,17247
BA,Conceição do Coité,66612
BA,Conceição do Jacuípe,33153
BA,Conde,25837
BA,Condeúba,17247
BA,Contendas do Sincorá,4066
BA,Coração de Maria,22605
BA,Cordeiros,8614
BA,Coribe,14194
BA,Coronel João Sá,15895
BA,Correntina,32137
BA,Cotegipe,13782
BA,Cravolândia,5349
BA,Crisópolis,21103
BA,Cristópolis,13910
BA,Cruz das Almas,63239
BA,Curaçá,34700
BA,Dário Meira,10710
BA,Dias d'Ávila,81089
BA,Dom Basílio,12199
BA,Dom Macedo Costa,4058
BA,Elísio Medrado,8122
BA,Encruzilhada,17006
BA,Entre Rios,41780
BA,Esplanada,37237
BA,Euclides da Cunha,60585
BA,Eunápolis,113380
BA,Fátima,17890
BA,Feira da Mata,5665
BA,Feira de Santana,614872
BA,Filadélfia,16377
BA,Firmino Alves,5617
BA,Floresta Azul,10629
BA,Formosa do Rio Preto,25591
BA,Gandu,32403
BA,Gavião,4463
BA,Gentio do Ouro,11233
BA,Glória,15221
BA,Gongogi,7128
BA,Governador Mangabeira,20722
BA,Guajeru,6937
BA,Guanambi,84481
BA,Guaratinga,20843
BA,Heliópolis,13031
BA,Iaçu,24305
BA,Ibiassucê,9224
BA,Ibicaraí,21689
BA,Ibicoara,19571
BA,Ibicuí,16198
BA,Ibipeba,18211
BA,Ibipitanga,14902
BA,Ibiquera,4044
BA,Ibirapitanga,23375
BA,Ibirapuã,8637
BA,Ibirataia,15312
BA,Ibitiara,16339
BA,Ibititá,17113
BA,Ibotirama,26927
BA,Ichu,6206
BA,Igaporã,15640
BA,Igrapiúna,13226
BA,Iguaí,26916
BA,Ilhéus,162327
BA,Inhambupe,39926
BA,Ipecaetá,14487
BA,Ipiaú,45873
BA,Ipirá,59595
BA,Ipupiara,9865
BA,Irajuba,7260
BA,Iramaia,8537
BA,Iraquara,25216
BA,Irará,29034
BA,Irecê,72967
BA,Itabela,30584
BA,Itaberaba,64489
BA,Itabuna,213223
BA,Itacaré,28296
BA,Itaeté,16056
BA,Itagi,12351
BA,Itagibá,14579
BA,Itagimirim,6869
BA,Itaguaçu da Bahia,14429
BA,Itaju do Colônia,6682
BA,Itajuípe,20491
BA,Itamaraju,64486
