date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-03,PA,Itaituba,city,1,0,True,101247,1503606,0.98768,
2020-04-03,PA,Marabá,city,1,0,True,279349,1504208,0.35798,
2020-04-03,PA,Marituba,city,1,0,True,131521,1504422,0.76033,
2020-04-03,PA,Parauapebas,city,1,0,True,208273,1505536,0.48014,
2020-04-03,PA,Santarém,city,4,1,True,304589,1506807,1.31325,0.25
2020-04-03,PA,Tucuruí,city,1,0,True,113659,1508100,0.87982,
2020-04-03,PA,,state,51,1,True,8602865,15,0.59283,0.0196
2020-04-03,PB,Cabedelo,city,1,,True,67736,2503209,1.47632,
2020-04-03,PB,Campina Grande,city,2,,True,409731,2504009,0.48813,
2020-04-03,PB,Igaracy,city,1,,True,6117,2502607,16.34788,
2020-04-03,PB,João Pessoa,city,24,,True,809015,2507507,2.96657,
2020-04-03,PB,Patos,city,1,1,True,107605,2510808,0.92932,1.0
2020-04-03,PB,Sousa,city,1,,True,69444,2516201,1.44001,
2020-04-03,PB,,state,30,1,True,4018127,25,0.74662,0.0333
2020-04-03,PE,Aliança,city,1,0,True,38386,2600708,2.60512,
2020-04-03,PE,Belo Jardim,city,1,0,True,76439,2601706,1.30823,
2020-04-03,PE,Cabo de Santo Agostinho,city,2,1,True,207048,2602902,0.96596,0.5
2020-04-03,PE,Camaragibe,city,4,0,True,157828,2603454,2.5344,
2020-04-03,PE,Caruaru,city,1,0,True,361118,2604106,0.27692,
2020-04-03,PE,Fernando de Noronha,city,5,0,True,3061,2605459,163.34531,
2020-04-03,PE,Goiana,city,1,1,True,79758,2606200,1.25379,1.0
2020-04-03,PE,Importados/Indefinidos,city,5,1,True,,,,0.2
2020-04-03,PE,Ipubi,city,1,0,True,30854,2607307,3.24107,
2020-04-03,PE,Jaboatão dos Guararapes,city,8,0,True,702298,2607901,1.13912,
2020-04-03,PE,Olinda,city,6,1,True,392482,2609600,1.52873,0.1667
2020-04-03,PE,Palmares,city,1,0,True,63250,2610004,1.58103,
2020-04-03,PE,Paulista,city,3,0,True,331774,2610707,0.90423,
2020-04-03,PE,Petrolina,city,2,0,True,349145,2611101,0.57283,
2020-04-03,PE,Recife,city,92,6,True,1645727,2611606,5.59023,0.0652
2020-04-03,PE,São Lourenço da Mata,city,3,0,True,113230,2613701,2.64947,
2020-04-03,PE,,state,136,10,True,9557071,26,1.42303,0.0735
2020-04-03,PR,Almirante Tamandaré,city,3,0,True,118623,4100400,2.52902,
2020-04-03,PR,Arapongas,city,2,0,True,123027,4101507,1.62566,
2020-04-03,PR,Araruna,city,1,0,True,13970,4101705,7.1582,
2020-04-03,PR,Araucária,city,2,0,True,143843,4101804,1.3904,
2020-04-03,PR,Assis Chateaubriand,city,1,0,True,33362,4102000,2.99742,
2020-04-03,PR,Cambé,city,2,0,True,106533,4103701,1.87735,
2020-04-03,PR,Campina Grande do Sul,city,1,0,True,43288,4104006,2.31011,
2020-04-03,PR,Campo Largo,city,5,0,True,132002,4104204,3.78782,
2020-04-03,PR,Campo Magro,city,1,0,True,29318,4104253,3.41087,
2020-04-03,PR,Campo Mourão,city,9,1,True,94859,4104303,9.48777,0.1111
2020-04-03,PR,Cascavel,city,15,1,True,328454,4104808,4.56685,0.0667
2020-04-03,PR,Castro,city,1,0,True,71484,4104907,1.39891,
2020-04-03,PR,Cianorte,city,11,0,True,82620,4105508,13.31397,
2020-04-03,PR,Colombo,city,1,0,True,243726,4105805,0.4103,
2020-04-03,PR,Contenda,city,1,0,True,18584,4106209,5.38097,
2020-04-03,PR,Cornélio Procópio,city,1,0,True,47845,4106407,2.09008,
2020-04-03,PR,Curitiba,city,114,0,True,1933105,4106902,5.89725,
2020-04-03,PR,Faxinal,city,1,0,True,17251,4107603,5.79677,
2020-04-03,PR,Fazenda Rio Grande,city,1,0,True,100209,4107652,0.99791,
2020-04-03,PR,Foz do Iguaçu,city,22,0,True,258532,4108304,8.50958,
2020-04-03,PR,Francisco Beltrão,city,1,0,True,91093,4108403,1.09778,
2020-04-03,PR,Goioerê,city,1,0,True,28884,4108601,3.46212,
2020-04-03,PR,Guaíra,city,2,0,True,33119,4108809,6.03883,
2020-04-03,PR,Guarapuava,city,1,0,True,181504,4109401,0.55095,
2020-04-03,PR,Ibaiti,city,1,0,True,31364,4109708,3.18837,
2020-04-03,PR,Importados/Indefinidos,city,6,0,True,,,,
2020-04-03,PR,Iretama,city,1,0,True,10169,4110805,9.83381,
2020-04-03,PR,Lapa,city,1,0,True,48163,4113205,2.07628,
2020-04-03,PR,Leópolis,city,1,0,True,3954,4113403,25.29084,
2020-04-03,PR,Londrina,city,30,0,True,569733,4113700,5.26562,
2020-04-03,PR,Mandirituba,city,1,0,True,26869,4114302,3.72176,
2020-04-03,PR,Marechal Cândido Rondon,city,2,0,True,52944,4114609,3.77758,
2020-04-03,PR,Maringá,city,15,2,True,423666,4115200,3.54052,0.1333
2020-04-03,PR,Mariópolis,city,1,0,True,6610,4115309,15.12859,
2020-04-03,PR,Matinhos,city,1,0,True,34720,4115705,2.88018,
2020-04-03,PR,Medianeira,city,3,0,True,46198,4115804,6.49379,
2020-04-03,PR,Palmeira,city,1,0,True,33877,4117701,2.95186,
2020-04-03,PR,Paranaguá,city,2,0,True,154936,4118204,1.29086,
2020-04-03,PR,Paranavaí,city,3,0,True,88374,4118402,3.39466,
2020-04-03,PR,Pato Branco,city,2,0,True,82881,4118501,2.4131,
2020-04-03,PR,Peabiru,city,1,0,True,13996,4118808,7.1449,
2020-04-03,PR,Pinhais,city,6,0,True,132157,4119152,4.54005,
2020-04-03,PR,Piraquara,city,1,0,True,113036,4119509,0.88467,
2020-04-03,PR,Ponta Grossa,city,4,0,True,351736,4119905,1.13722,
2020-04-03,PR,Quatiguá,city,2,0,True,7449,4120705,26.84924,
2020-04-03,PR,Quatro Barras,city,1,0,True,23559,4120804,4.24466,
2020-04-03,PR,Rio Branco do Sul,city,1,0,True,32397,4122206,3.08671,
2020-04-03,PR,Rio Negro,city,1,0,True,34170,4122305,2.92654,
2020-04-03,PR,São José dos Pinhais,city,6,0,True,323340,4125506,1.85563,
2020-04-03,PR,São Manoel do Paraná,city,1,0,True,2160,4125555,46.2963,
2020-04-03,PR,Sarandi,city,1,0,True,96688,4126256,1.03425,
2020-04-03,PR,Telêmaco Borba,city,4,0,True,78974,4127106,5.06496,
2020-04-03,PR,Terra Boa,city,1,0,True,17094,4127205,5.85001,
2020-04-03,PR,Terra Rica,city,1,0,True,16789,4127304,5.95628,
2020-04-03,PR,Umuarama,city,2,0,True,111557,4128104,1.79281,
2020-04-03,PR,União da Vitória,city,2,0,True,57517,4128203,3.47723,
2020-04-03,PR,Verê,city,1,0,True,7257,4128609,13.7798,
2020-04-03,PR,,state,307,4,True,11433957,41,2.68498,0.013
2020-04-03,RN,Açu,city,6,0,True,58017,2400208,10.3418,
2020-04-03,RN,Apodi,city,1,0,True,35845,2401008,2.78979,
2020-04-03,RN,Baía Formosa,city,1,0,True,9271,2401404,10.78632,
2020-04-03,RN,Caraúbas,city,1,0,True,20493,2402303,4.87972,
2020-04-03,RN,Carnaubais,city,1,0,True,10759,2402501,9.29454,
2020-04-03,RN,Ceará-Mirim,city,3,0,True,73497,2402600,4.0818,
2020-04-03,RN,Extremoz,city,5,0,True,28583,2403608,17.49292,
2020-04-03,RN,Importados/Indefinidos,city,5,0,True,,,,
2020-04-03,RN,Luís Gomes,city,1,0,True,10116,2407005,9.88533,
2020-04-03,RN,Macaíba,city,1,0,True,80792,2407104,1.23775,
2020-04-03,RN,Monte Alegre,city,1,0,True,22451,2407807,4.45414,
2020-04-03,RN,Mossoró,city,43,3,True,297378,2408003,14.45971,0.0698
2020-04-03,RN,Natal,city,77,1,True,884122,2408102,8.70921,0.013
2020-04-03,RN,Parnamirim,city,17,0,True,261469,2403251,6.50173,
2020-04-03,RN,Passa e Fica,city,1,0,True,13277,2409100,7.53182,
2020-04-03,RN,Santo Antônio,city,1,0,True,24136,2411502,4.14319,
2020-04-03,RN,São Gonçalo do Amarante,city,9,0,True,102400,2412005,8.78906,
2020-04-03,RN,São José de Mipibu,city,1,0,True,43899,2412203,2.27796,
2020-04-03,RN,Tibau,city,1,0,True,4106,2411056,24.3546,
2020-04-03,RN,,state,176,4,True,3506853,24,5.01874,0.0227
2020-04-03,RO,Jaru,city,1,0,True,51775,1100114,1.93143,
2020-04-03,RO,Ji-Paraná,city,1,0,True,128969,1100122,0.77538,
2020-04-03,RO,Porto Velho,city,8,1,True,529544,1100205,1.51073,0.125
2020-04-03,RO,,state,10,1,True,1777225,11,0.56267,0.1
2020-04-02,AC,Acrelândia,city,8,0,False,15256,1200013,52.43838,
2020-04-02,AC,Porto Acre,city,1,0,False,18504,1200807,5.40424,
2020-04-02,AC,Rio Branco,city,36,0,False,407319,1200401,8.83828,
2020-04-02,AC,,state,45,0,False,881935,12,5.10242,
2020-04-02,AL,Importados/Indefinidos,city,4,0,True,,,,
2020-04-02,AL,Maceió,city,13,1,True,1018948,2704302,1.27583,0.0769
2020-04-02,AL,Porto Real do Colégio,city,1,0,True,20066,2707503,4.98355,
2020-04-02,AL,,state,18,1,True,3337357,27,0.53935,0.0556
2020-04-02,AM,Anori,city,1,0,False,21010,1300102,4.75964,
2020-04-02,AM,Boca do Acre,city,1,0,False,34308,1300706,2.91477,
2020-04-02,AM,Careiro da Várzea,city,1,0,False,30225,1301159,3.30852,
2020-04-02,AM,Itacoatiara,city,4,0,False,101337,1301902,3.94723,
2020-04-02,AM,Manacapuru,city,6,0,False,97377,1302504,6.16162,
2020-04-02,AM,Manaus,city,205,2,False,2182763,1302603,9.39177,0.0098
2020-04-02,AM,Novo Airão,city,1,0,False,19454,1303205,5.14033,
2020-04-02,AM,Parintins,city,3,1,False,114273,1303403,2.62529,0.3333
2020-04-02,AM,Santo Antônio do Içá,city,4,0,False,21602,1303700,18.5168,
2020-04-02,AM,Tonantins,city,3,0,False,18755,1304237,15.99573,
2020-04-02,AM,,state,229,3,False,4144597,13,5.52527,0.0131
2020-04-02,AP,Macapá,city,12,0,False,503327,1600303,2.38414,
2020-04-02,AP,,state,12,0,False,845731,16,1.41889,
2020-04-02,BA,Alagoinhas,city,3,0,True,151596,2900702,1.97894,
2020-04-02,BA,Barra,city,1,0,True,53578,2902708,1.86644,
2020-04-02,BA,Barra do Rocha,city,1,0,True,5714,2903102,17.50088,
2020-04-02,BA,Barreiras,city,1,0,True,155439,2903201,0.64334,
2020-04-02,BA,Belmonte,city,1,0,True,23328,2903409,4.28669,
2020-04-02,BA,Brumado,city,5,0,True,67195,2904605,7.44103,
2020-04-02,BA,Camaçari,city,4,0,True,299132,2905701,1.3372,
2020-04-02,BA,Canarana,city,1,0,True,26176,2906204,3.82029,
2020-04-02,BA,Candeias,city,1,0,True,87076,2906501,1.14842,
2020-04-02,BA,Catu,city,0,0,True,54704,2907509,,
2020-04-02,BA,Coaraci,city,1,0,True,16993,2908002,5.88478,
2020-04-02,BA,Conceição do Jacuípe,city,1,0,True,33153,2908507,3.01632,
2020-04-02,BA,Conde,city,1,0,True,25837,2908606,3.87042,
2020-04-02,BA,Dias d'Ávila,city,1,0,True,81089,2910057,1.23321,
2020-04-02,BA,Feira de Santana,city,22,0,True,614872,2910800,3.57798,
2020-04-02,BA,Ilhéus,city,8,0,True,162327,2913606,4.92832,
2020-04-02,BA,Importados/Indefinidos,city,0,0,True,,,,
2020-04-02,BA,Ipiaú,city,1,0,True,45873,2913903,2.17993,
2020-04-02,BA,Itabuna,city,4,0,True,213223,2914802,1.87597,
2020-04-02,BA,Itagibá,city,1,0,True,14579,2915205,6.85918,
2020-04-02,BA,Itajuípe,city,3,0,True,20491,2915502,14.64057,
2020-04-02,BA,Itamaraju,city,1,0,True,64486,2915601,1.55072,
2020-04-02,BA,Itororó,city,1,0,True,20382,2917102,4.90629,
2020-04-02,BA,Jequié,city,1,0,True,155966,2918001,0.64117,
2020-04-02,BA,Juazeiro,city,2,0,True,216707,2918407,0.92291,
2020-04-02,BA,Lauro de Freitas,city,12,0,True,198440,2919207,6.04717,
2020-04-02,BA,Medeiros Neto,city,1,0,True,22688,2921104,4.40762,
2020-04-02,BA,Nova Soure,city,1,0,True,26947,2922904,3.71099,
2020-04-02,BA,Pojuca,city,1,0,True,39519,2925204,2.53043,
2020-04-02,BA,Porto Seguro,city,10,0,True,148686,2925303,6.72558,
2020-04-02,BA,Prado,city,3,0,True,28174,2925501,10.64812,
2020-04-02,BA,Salvador,city,167,3,True,2872347,2927408,5.81406,0.018
2020-04-02,BA,Santa Cruz Cabrália,city,2,0,True,27778,2927705,7.19994,
2020-04-02,BA,São Domingos,city,1,0,True,9058,2928950,11.03996,
2020-04-02,BA,Teixeira de Freitas,city,2,0,True,160487,2931350,1.24621,
2020-04-02,BA,Vitória da Conquista,city,1,0,True,341597,2933307,0.29274,
2020-04-02,BA,,state,267,3,True,14873064,29,1.79519,0.0112
2020-04-02,CE,Aquiraz,city,13,0,True,80271,2301000,16.19514,
2020-04-02,CE,Beberibe,city,1,0,True,53573,2302206,1.86661,
2020-04-02,CE,Caucaia,city,1,0,True,361400,2303709,0.2767,
2020-04-02,CE,Eusébio,city,1,0,True,53618,2304285,1.86505,
2020-04-02,CE,Fortaleza,city,526,0,True,2669342,2304400,19.70523,
2020-04-02,CE,Icó,city,2,0,True,68018,2305407,2.9404,
2020-04-02,CE,Itaitinga,city,1,0,True,37980,2306256,2.63296,
2020-04-02,CE,Itapipoca,city,1,0,True,129358,2306405,0.77305,
2020-04-02,CE,Jaguaribe,city,1,0,True,34682,2306900,2.88334,
2020-04-02,CE,Juazeiro do Norte,city,1,0,True,274207,2307304,0.36469,
2020-04-02,CE,Maracanaú,city,2,0,True,227886,2307650,0.87763,
2020-04-02,CE,Maranguape,city,2,0,True,128978,2307700,1.55065,
2020-04-02,CE,Mauriti,city,1,0,True,47962,2308104,2.08498,
2020-04-02,CE,Quixadá,city,2,0,True,87728,2311306,2.27977,
2020-04-02,CE,Santa Quitéria,city,1,0,True,43703,2312205,2.28817,
2020-04-02,CE,Sobral,city,5,0,True,208935,2312908,2.39309,
2020-04-02,CE,Tianguá,city,2,0,True,75946,2313401,2.63345,
2020-04-02,CE,,state,563,21,True,9132078,23,6.16508,0.0373
2020-04-02,DF,Brasília,city,400,5,True,3015268,5300108,13.26582,0.0125
2020-04-02,DF,,state,400,5,True,3015268,53,13.26582,0.0125
2020-04-02,ES,Afonso Cláudio,city,1,0,True,30586,3200102,3.26947,
2020-04-02,ES,Alto Rio Novo,city,0,0,True,7836,3200359,,
2020-04-02,ES,Aracruz,city,1,0,True,101220,3200607,0.98795,
2020-04-02,ES,Cachoeiro de Itapemirim,city,1,0,True,208972,3201209,0.47853,
2020-04-02,ES,Cariacica,city,11,0,True,381285,3201308,2.88498,
2020-04-02,ES,Castelo,city,2,0,True,37534,3201407,5.3285,
2020-04-02,ES,Fundão,city,1,0,True,21509,3202207,4.64922,
2020-04-02,ES,Guarapari,city,3,0,True,124859,3202405,2.40271,
2020-04-02,ES,Importados/Indefinidos,city,0,0,True,,,,
2020-04-02,ES,Itapemirim,city,1,0,True,34348,3202801,2.91138,
2020-04-02,ES,Linhares,city,7,0,True,173555,3203205,4.0333,
2020-04-02,ES,Santa Teresa,city,1,0,True,23590,3204609,4.23908,
2020-04-02,ES,São Mateus,city,3,0,True,130611,3204906,2.2969,
2020-04-02,ES,São Roque do Canaã,city,1,0,True,12415,3204955,8.05477,
2020-04-02,ES,Serra,city,23,1,True,517510,3205002,4.44436,0.0435
2020-04-02,ES,Sooretama,city,2,0,True,30070,3205010,6.65115,
2020-04-02,ES,Viana,city,1,0,True,78239,3205101,1.27813,
2020-04-02,ES,Vila Velha,city,44,1,True,493838,3205200,8.9098,0.0227
2020-04-02,ES,Vitória,city,36,0,True,362097,3205309,9.94209,
2020-04-02,ES,,state,139,2,True,4018650,32,3.45887,0.0144
2020-04-02,GO,Águas Lindas de Goiás,city,1,0,False,212440,5200258,0.47072,
2020-04-02,GO,Anápolis,city,4,0,False,386923,5201108,1.0338,
2020-04-02,GO,Aparecida de Goiânia,city,2,0,False,578179,5201405,0.34591,
2020-04-02,GO,Caldas Novas,city,0,0,False,91162,5204508,,
2020-04-02,GO,Campestre de Goiás,city,1,0,False,3630,5204607,27.54821,
2020-04-02,GO,Catalão,city,1,0,False,108823,5205109,0.91892,
2020-04-02,GO,Cidade Ocidental,city,1,0,False,71376,5205497,1.40103,
2020-04-02,GO,Goianésia,city,1,0,False,70084,5208608,1.42686,
2020-04-02,GO,Goiânia,city,43,0,False,1516113,5208707,2.8362,
2020-04-02,GO,Hidrolândia,city,0,0,False,21706,5209705,,
2020-04-02,GO,Importados/Indefinidos,city,0,0,False,,,,
2020-04-02,GO,Itumbiara,city,2,0,False,104742,5211503,1.90945,
2020-04-02,GO,Jataí,city,2,0,False,100882,5211909,1.98251,
2020-04-02,GO,Luziânia,city,1,1,False,208299,5212501,0.48008,1.0
2020-04-02,GO,Paranaiguara,city,1,0,False,10057,5216304,9.94332,
2020-04-02,GO,Rio Verde,city,7,0,False,235647,5218805,2.97054,
2020-04-02,GO,Silvânia,city,1,0,False,20695,5220603,4.83209,
2020-04-02,GO,Trindade,city,1,0,False,127599,5221403,0.78371,
2020-04-02,GO,Valparaíso de Goiás,city,4,0,False,168468,5221858,2.37434,
2020-04-02,GO,,state,73,1,False,7018354,52,1.04013,0.0137
2020-04-02,MA,Açailândia,city,1,0,True,112445,2100055,0.88932,
2020-04-02,MA,Imperatriz,city,1,0,True,258682,2105302,0.38658,
2020-04-02,MA,São Luís,city,78,1,True,1101884,2111300,7.07879,0.0128
2020-04-02,MA,,state,80,1,True,7075181,21,1.13071,0.0125
2020-04-02,MG,Alfenas,city,1,0,True,79996,3101607,1.25006,
2020-04-02,MG,Araguari,city,1,0,True,117267,3103504,0.85275,
2020-04-02,MG,Arcos,city,1,0,True,40092,3104205,2.49426,
2020-04-02,MG,Barbacena,city,1,0,True,137313,3105608,0.72826,
2020-04-02,MG,Belo Horizonte,city,210,3,True,2512070,3106200,8.35964,0.0143
2020-04-02,MG,Betim,city,5,0,True,439340,3106705,1.13807,
2020-04-02,MG,Boa Esperança,city,1,0,True,40127,3107109,2.49209,
2020-04-02,MG,Bom Despacho,city,1,0,True,50605,3107406,1.97609,
2020-04-02,MG,Campo Belo,city,1,0,True,54029,3111200,1.85086,
2020-04-02,MG,Campos Altos,city,1,0,True,15461,3111507,6.46789,
2020-04-02,MG,Capitólio,city,1,0,True,8632,3112802,11.5848,
2020-04-02,MG,Carmo do Cajuru,city,1,0,True,22478,3114204,4.44879,
2020-04-02,MG,Contagem,city,9,0,True,663855,3118601,1.35572,
2020-04-02,MG,Coronel Fabriciano,city,1,0,True,109855,3119401,0.91029,
2020-04-02,MG,Divinópolis,city,9,0,True,238230,3122306,3.77786,
2020-04-02,MG,Extrema,city,1,0,True,36225,3125101,2.76052,
2020-04-02,MG,Governador Valadares,city,2,0,True,279885,3127701,0.71458,
2020-04-02,MG,Guimarânia,city,1,0,True,8039,3128907,12.43936,
2020-04-02,MG,Importados/Indefinidos,city,3,0,True,,,,
2020-04-02,MG,Ipatinga,city,1,0,True,263410,3131307,0.37964,
2020-04-02,MG,Juiz de Fora,city,30,0,True,568873,3136702,5.27358,
2020-04-02,MG,Lagoa da Prata,city,5,0,True,52165,3137205,9.58497,
2020-04-02,MG,Lavras,city,1,0,True,103773,3138203,0.96364,
2020-04-02,MG,Manhuaçu,city,1,0,True,90229,3139409,1.10829,
2020-04-02,MG,Mariana,city,3,1,True,60724,3140001,4.94039,0.3333
2020-04-02,MG,Muriaé,city,3,0,True,108763,3143906,2.75829,
2020-04-02,MG,Nova Lima,city,22,0,True,94889,3144805,23.18498,
2020-04-02,MG,Patrocínio,city,3,0,True,90757,3148103,3.30553,
2020-04-02,MG,Poços de Caldas,city,2,0,True,167397,3151800,1.19476,
2020-04-02,MG,Pouso Alegre,city,3,0,True,150737,3152501,1.99022,
2020-04-02,MG,Ribeirão das Neves,city,2,0,True,334858,3154606,0.59727,
2020-04-02,MG,Sabará,city,4,0,True,136344,3156700,2.93376,
2020-04-02,MG,Santa Luzia,city,1,0,True,219134,3157807,0.45634,
2020-04-02,MG,Santana do Paraíso,city,1,0,True,34663,3158953,2.88492,
2020-04-02,MG,Santo Antônio do Monte,city,2,0,True,28243,3160405,7.0814,
2020-04-02,MG,São João del Rei,city,3,0,True,90082,3162500,3.3303,
2020-04-02,MG,Serra do Salitre,city,1,0,True,11582,3166808,8.63409,
2020-04-02,MG,Sete Lagoas,city,2,0,True,239639,3167202,0.83459,
2020-04-02,MG,Timóteo,city,1,0,True,89842,3168705,1.11307,
2020-04-02,MG,Toledo,city,1,0,True,6258,3169109,15.97955,
2020-04-02,MG,Uberaba,city,4,0,True,333783,3170107,1.19838,
2020-04-02,MG,Uberlândia,city,22,0,True,691305,3170206,3.18239,
2020-04-02,MG,Unaí,city,1,0,True,84378,3170404,1.18514,
2020-04-02,MG,,state,370,4,True,21168791,31,1.74786,0.0108
2020-04-02,MS,Alcinópolis,city,1,0,True,5343,5000252,18.71608,
2020-04-02,MS,Batayporã,city,4,1,True,11329,5002001,35.30762,0.25
2020-04-02,MS,Campo Grande,city,38,0,True,895982,5002704,4.24116,
2020-04-02,MS,Dourados,city,4,0,True,222949,5003702,1.79413,
2020-04-02,MS,Nova Andradina,city,2,0,True,54374,5006200,3.67823,
2020-04-02,MS,Ponta Porã,city,1,0,True,92526,5006606,1.08078,
2020-04-02,MS,Rio Verde de Mato Grosso,city,1,0,True,19746,5007406,5.06432,
2020-04-02,MS,Sidrolândia,city,1,0,True,57665,5007901,1.73415,
2020-04-02,MS,Três Lagoas,city,1,0,True,121388,5008305,0.8238,
2020-04-02,MS,,state,53,1,True,2778986,50,1.90717,0.0189
2020-04-02,MT,Cuiabá,city,25,0,True,612547,5103403,4.08132,
2020-04-02,MT,Lucas do Rio Verde,city,1,0,True,65534,5105259,1.52593,
2020-04-02,MT,Nova Monte Verde,city,1,0,True,9178,5108956,10.89562,
2020-04-02,MT,Rondonópolis,city,5,0,True,232491,5107602,2.15062,
2020-04-02,MT,Sinop,city,3,0,True,142996,5107909,2.09796,
2020-04-02,MT,Tangará da Serra,city,2,0,True,103750,5107958,1.92771,
2020-04-02,MT,Várzea Grande,city,4,0,True,284971,5108402,1.40365,
2020-04-02,MT,,state,41,0,True,3484466,51,1.17665,
2020-04-02,PA,Abaetetuba,city,1,0,False,157698,1500107,0.63412,
2020-04-02,PA,Ananindeua,city,9,0,False,530598,1500800,1.6962,
2020-04-02,PA,Barcarena,city,1,0,False,124680,1501303,0.80205,
2020-04-02,PA,Belém,city,28,0,False,1492745,1501402,1.87574,
2020-04-02,PA,Castanhal,city,1,0,False,200793,1502400,0.49803,
2020-04-02,PA,Itaituba,city,1,0,False,101247,1503606,0.98768,
2020-04-02,PA,Marabá,city,1,0,False,279349,1504208,0.35798,
2020-04-02,PA,Marituba,city,1,0,False,131521,1504422,0.76033,
2020-04-02,PA,Parauapebas,city,1,0,False,208273,1505536,0.48014,
2020-04-02,PA,Santarém,city,4,1,False,304589,1506807,1.31325,0.25
2020-04-02,PA,Tucuruí,city,1,0,False,113659,1508100,0.87982,
2020-04-02,PA,,state,49,1,False,8602865,15,0.56958,0.0204
2020-04-02,PB,Cabedelo,city,1,,False,67736,2503209,1.47632,
2020-04-02,PB,Campina Grande,city,2,,False,409731,2504009,0.48813,
2020-04-02,PB,Igaracy,city,1,,False,6117,2502607,16.34788,
2020-04-02,PB,João Pessoa,city,23,,False,809015,2507507,2.84296,
2020-04-02,PB,Patos,city,1,1,False,107605,2510808,0.92932,1.0
2020-04-02,PB,Sousa,city,1,,False,69444,2516201,1.44001,
2020-04-02,PB,,state,29,1,False,4018127,25,0.72173,0.0345
2020-04-02,PE,Aliança,city,1,0,False,38386,2600708,2.60512,
2020-04-02,PE,Belo Jardim,city,1,0,False,76439,2601706,1.30823,
2020-04-02,PE,Camaragibe,city,2,0,False,157828,2603454,1.2672,
